first,second,third,four,five,six,seven,eight,nine,ten,output
200,200,200,200,282.84,282.84,282.84,282.84,-90,100,[]
200,200,200,200,282.84,282.84,282.84,282.84,-90,100,[]
200,200,200,200,282.84,282.84,282.84,282.84,-90,100,[]
200,200,200,200,282.84,282.84,282.84,282.84,-90,100,[]
190,200,210,200,290,275.86,290,275.86,-85.91438322,108.17,"[0, 0, 0, 1]"
180,200,220,200,297.32,269.07,297.32,269.07,-81.86989765,116.62,"[0, 0, 0, 1]"
180,190,220,210,304.14,276.59,290.69,261.73,-85.91438322,111.8,"[0, 0, 1, 0]"
180,180,220,220,311.13,284.25,284.25,254.56,-90,107.7,"[0, 0, 1, 0]"
180,170,220,230,318.28,292.06,278.03,247.59,-94.08561678,104.4,"[0, 0, 1, 0]"
180,160,220,240,325.58,300,272.03,240.83,-98.13010235,101.98,"[0, 0, 1, 0]"
180,150,220,250,333.02,308.06,266.27,234.31,-102.0947571,100.5,"[0, 0, 1, 0]"
190,150,210,250,326.5,314.01,258.07,242.07,-105.9453959,90.55,"[0, 1, 0, 0]"
190,140,210,260,334.22,322.02,252.39,236.01,-109.6538241,90,"[0, 0, 1, 0]"
190,130,210,270,342.05,330.15,246.98,230.22,-113.1985905,90.55,"[0, 0, 1, 0]"
190,120,210,280,350,338.38,241.87,224.72,-116.5650512,92.2,"[0, 0, 1, 0]"
190,130,210,270,342.05,330.15,246.98,230.22,-113.1985905,90.55,"[1, 0, 0, 0]"
190,140,210,260,334.22,322.02,252.39,236.01,-109.6538241,90,"[1, 0, 0, 0]"
190,150,210,250,326.5,314.01,258.07,242.07,-105.9453959,90.55,"[1, 0, 0, 0]"
200,150,200,250,320.16,320.16,250,250,-109.6538241,80.62,"[0, 1, 0, 0]"
210,150,190,250,314.01,326.5,242.07,258.07,-113.1985905,70.71,"[0, 1, 0, 0]"
220,150,180,250,308.06,333.02,234.31,266.27,-116.5650512,60.83,"[0, 1, 0, 0]"
230,150,170,250,302.32,339.71,226.72,274.59,-119.7448813,50.99,"[0, 1, 0, 0]"
240,150,160,250,296.82,346.55,219.32,283.02,-122.7352263,41.23,"[0, 1, 0, 0]"
250,150,150,250,291.55,353.55,212.13,291.55,-125.5376778,31.62,"[0, 1, 0, 0]"
